Landshlutar,Póstnúmer,Age,Gender,Other Category,Flettingar,% Δ,Fjöldi eigna,% Δ,Avg. Time on Page,% Δ
Reykjavík,111 Reykjavík (Breiðholt),25-34,female,Arts & Entertainment/Celebrities & Entertainment News,812,0.2667706708268331,5,0,8.264,-0.5680145789372723
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",25-34,male,[Life Events] Job Change/Starting New Job Soon,799,-0.40284005979073245,7,-0.4166666666666667,24.948579161028416,0.5832853315347993
Hafnafjörður,220 Hafnarfjörður,45-54,male,Sports/Team Sports/Soccer,798,2.1792828685258963,9,2,20.156593406593405,-0.07842070005024293
Reykjavík,105 Reykjavík (Hlíðar),35-44,female,Arts & Entertainment/Celebrities & Entertainment News,789,-0.5935085007727975,8,-0.5,15.54978354978355,0.4155574421706009
Garðabær,210 Garðabær,35-44,male,Sports/Team Sports/Soccer,787,-0.22539370078740156,9,-0.25,15.415492957746478,-0.028430663029560783
Kópavogur,"200 Kópavogur (Kársnes, Digranes)",35-44,female,Arts & Entertainment/Celebrities & Entertainment News,778,-0.3522064945878435,8,-0.2,7.394775036284471,-0.6420799950654175
Vesturland,300 Akranes,25-34,male,[Life Events] Moving/Moving Soon,767,6.67,7,6,7.878740157480315,-0.13992189655538342
Vesturland,310 Borgarnes,25-34,female,Arts & Entertainment/Celebrities & Entertainment News,763,,6,,10.520865533230294,
Reykjavík,104 Reykjavík (Laugardalur),35-44,female,Arts & Entertainment/Celebrities & Entertainment News,755,3.0591397849462365,7,2.5,17.119335347432024,-0.2673016634611866
Garðabær,210 Garðabær,18-24,male,Arts & Entertainment/TV & Video/Online Video,754,0.9432989690721649,8,0.14285714285714285,15.579022988505747,-0.30323177000949064
Garðabær,210 Garðabær,25-34,male,[Life Events] Job Change/Starting New Job Soon,742,0.08957415565345081,7,-0.125,23.30780780780781,0.026737665332468012
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),45-54,female,Arts & Entertainment/Celebrities & Entertainment News,732,9.764705882352942,7,6,14.552395209580839,-0.4083674277658276
Hafnafjörður,220 Hafnarfjörður,35-44,female,Arts & Entertainment/Celebrities & Entertainment News,726,2.924324324324324,7,2.5,22.23127035830619,0.9247360095049929
Reykjavík,105 Reykjavík (Hlíðar),45-54,male,Sports/Team Sports/Soccer,721,-0.013679890560875513,8,0,18.71908396946565,0.05676163500138918
Reykjavík,112 Reykjavík (Grafarvogur),25-34,male,Arts & Entertainment/TV & Video/Online Video,711,0.1949579831932773,8,-0.1111111111111111,21.9187969924812,0.5316484662918114
Reykjavík,104 Reykjavík (Laugardalur),25-34,male,[Life Events] Job Change/Starting New Job Soon,710,,8,,13.575113808801214,
Reykjavík,107 Reykjavík (Vesturbær),25-34,male,[Life Events] Moving/Recently Moved,698,1.538181818181818,7,2.5,16.456521739130434,0.11501330967169465
Vesturland,300 Akranes,35-44,female,Arts & Entertainment/Celebrities & Entertainment News,693,0.848,5,0.25,12.04251700680272,0.16786947407361733
Reykjavík,105 Reykjavík (Hlíðar),25-34,male,Arts & Entertainment/Humor/Funny Pictures & Videos,674,0.053125,6,0,27.8107202680067,0.020215636038345905
Reykjavík,110 Reykjavík (Árbær),25-34,male,News/Sports News,667,0.38958333333333334,7,0.16666666666666666,11.25974025974026,0.22560994213304314
Reykjavík,110 Reykjavík (Árbær),25-34,female,Arts & Entertainment/TV & Video/Online Video,658,0.46547884187082406,7,0.4,13.453376205787782,-0.15483634190100976
Reykjavík,108 Reykjavík (Háaleiti og Bústaðir),65+,female,Arts & Entertainment/TV & Video/Online Video,657,8.661764705882353,6,5,21.339344262295082,0.11523874069716895
Reykjavík,104 Reykjavík (Laugardalur),65+,female,Arts & Entertainment/Celebrities & Entertainment News,654,5.288461538461538,6,5,19.856661045531197,-0.28228935980007724
Hafnafjörður,220 Hafnarfjörður,35-44,male,Sports/Team Sports/Soccer,643,3.9461538461538463,6,2,13.323478260869566,-0.716619777609034
Álftanes,225 Álftanes,25-34,male,Sports/Team Sports/Soccer,643,-0.14380825565912117,5,0.25,27.939341421143848,0.21654145309107384
